key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,price_source,midpoint_price,expiry_date,bloomberg_symbol,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.HY4.24JUL25.112:25.C,0.0069999,0.03125,112.25,C,0.0145957,557.6349161,758.9224358,676.8712777,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0145957,24JUL25,,2.879861,0.40253222097345653,0.40253222097345653,0.050976433800263274,3.2115153294165864,0.15332545686788882,0.8226497602697564,0.17774051878952826,11.19765268374028,-0.04929297498758469,1181.0413524528908,425.5393106925714,29.73985269507704,614.7680513505636,14.161252354973849,2468.2384025183387,48.0637244243065,True,,bachelier_v1.0
XCME.HY4.24JUL25.112:5.C,,0.03125,112.5,C,0.0111314,,884.2558905,761.5474951,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0111314,24JUL25,,2.879861,0.4497215286968971,0.4497215286968971,0.03661255776971385,2.3065911394919727,0.10505359285070939,0.5707304526572637,0.13605863659526693,8.571694105501816,-0.042156808986062444,970.9116483954815,319.3708768885322,24.936613082294464,544.7733506902075,-6.835609515611612,2194.9031985589318,-23.20026815390585,True,,bachelier_v1.0
XCME.HY4.24JUL25.112:75.C,,0.015625,112.75,C,0.0094852,,871.9211706,772.3849302,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0094852,24JUL25,,2.879861,0.5022441904752072,0.5022441904752072,0.02888735396337312,1.8199032996925064,0.07736578343059593,0.4283916810822023,0.1119013629207675,7.049785864008352,-0.03872114892114615,802.1209056731302,249.11184691511733,21.722398735853368,447.82120478183464,-15.295357063147577,1624.7421945500448,-51.91291055527922,True,,bachelier_v1.0
XCME.HY4.24JUL25.113.C,,0.015625,113.0,C,0.0086687,,979.9694289,871.6667661,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0086687,24JUL25,,2.879861,0.5580129642438245,0.5580129642438245,0.024317513101469304,1.532003325392566,0.06030203227786652,0.3414723211370233,0.09690535219524776,6.105037188300609,-0.037255465166466675,675.1794780189405,201.77882613607213,19.548721430275435,362.6125503619613,-18.32969780687098,1161.9696241981214,-62.21155601826631,True,,bachelier_v1.0
XCME.OZN.AUG25.110.C,1.125,1.15625,110.0,C,1.1401325,,608.3013619,525.6525476,0,0,0.0,,,19.7,111266384.023,adjtheor,1.1401325,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.110:25.C,0.875,0.921875,110.25,C,0.8975903,,575.6277255,481.1418865,0,0,0.0,,,19.7,111266384.023,adjtheor,0.8975903,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.110:5.C,0.640625,0.6875,110.5,C,0.6662897,305.0260951,510.4044671,426.9070118,0,0,0.0,,,19.7,111266384.023,adjtheor,0.6662897,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.110:75.C,0.4375,0.46875,110.75,C,0.4595045,373.0870016,454.8939701,415.0923384,0,0,0.0,,,19.7,111266384.023,adjtheor,0.4595045,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.111.C,0.28125,0.3125,111.0,C,0.2917682,414.9858473,447.0823449,431.0520127,0,0,0.0,,,19.7,111266384.023,adjtheor,0.2917682,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.111:25.C,0.15625,0.1875,111.25,C,0.1710866,417.9556065,481.6126719,449.8327268,0,0,0.0,,,19.7,111266384.023,adjtheor,0.1710866,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.111:5.C,0.078125,0.109375,111.5,C,0.0946124,425.245243,501.3209989,463.9060275,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0946124,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.111:75.C,0.046875,0.0625,111.75,C,0.0518672,475.2358789,525.667054,501.0593543,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0518672,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.112.C,0.015625,0.046875,112.0,C,0.0297707,451.9751471,600.0778987,534.8551483,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0297707,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.112:25.C,0.015625,0.03125,112.25,C,0.0192692,551.2745415,645.2333901,602.277299,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0192692,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.112:5.C,0.0069999,0.03125,112.5,C,0.0145008,560.6247747,751.8008285,674.4934426,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0145008,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.112:75.C,0.0069999,0.015625,112.75,C,0.0123654,645.2867355,741.3128036,698.9044055,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0123654,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.OZN.AUG25.113.C,0.0069999,0.015625,113.0,C,0.011366,728.5825475,833.184744,787.1722756,0,0,0.0,,,19.7,111266384.023,adjtheor,0.011366,AUG25,,,20.0,20.0,,,,,,,,,,,,,,,True,,bachelier_v1.0
XCME.VY3.21JUL25.110.P,,,110.0,P,,,,,0,0,0.0,,,19.7,111266384.023,missing,,21JUL25,,,20.0,20.0,,,,,,,,,,,,,,,True,No valid price available,bachelier_v1.0
XCME.VY3.21JUL25.110:25.P,,,110.25,P,,,,,0,0,0.0,,,19.7,111266384.023,missing,,21JUL25,,,20.0,20.0,,,,,,,,,,,,,,,True,No valid price available,bachelier_v1.0
XCME.VY3.21JUL25.110:5.P,,,110.5,P,,,,,0,0,0.0,,,19.7,111266384.023,missing,,21JUL25,,,20.0,20.0,,,,,,,,,,,,,,,True,No valid price available,bachelier_v1.0
XCME.VY3.21JUL25.110:75.P,,,110.75,P,,,,,0,0,0.0,,,19.7,111266384.023,missing,,21JUL25,,,20.0,20.0,,,,,,,,,,,,,,,True,No valid price available,bachelier_v1.0
